,DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
1841,241411258,07/16/2024 12:00:00 AM,07/09/2024 12:00:00 AM,2300,14,Pacific,1465,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,5400 S  CENTINELA                    AV,,33.9836,-118.4118
1842,241411206,07/10/2024 12:00:00 AM,07/09/2024 12:00:00 AM,2130,14,Pacific,1494,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344,61,F,W,212.0,TRANSPORTATION FACILITY (AIRPORT),500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,440,,,,300    WORLD                        WY,,33.9455,-118.4001
1843,241411918,08/04/2024 12:00:00 AM,07/09/2024 12:00:00 AM,500,14,Pacific,1407,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1609 1822 1501 0329,35,F,W,104.0,DRIVEWAY,,,IC,Invest Cont,740,,,,3600    DUNN                         DR,,34.0273,-118.4029
1844,240212157,07/20/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1205,2,Rampart,239,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 1300 0329,30,M,O,123.0,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,740,,,,300 N  BEAUDRY                      AV,,34.0622,-118.2523
1845,240910625,07/31/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1200,9,Van Nuys,935,1,510,VEHICLE - STOLEN,,0,,,208.0,AUTO SALES LOT,,,IC,Invest Cont,510,,,,6100    SYLMAR                       AV,,34.1817,-118.4465
1846,240610403,07/09/2024 12:00:00 AM,07/09/2024 12:00:00 AM,50,6,Hollywood,666,1,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510,,,,6300    DE LONGPRE                   AV,,34.0962,-118.3266
1847,241411280,07/09/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1845,14,Pacific,1496,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,50,M,H,101.0,STREET,,,IC,Invest Cont,740,,,,W  98TH                         ST,VICKSBURG                    AV,33.9473,-118.394
1848,240211773,07/09/2024 12:00:00 AM,07/09/2024 12:00:00 AM,300,2,Rampart,219,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,BEAUDRY                      ST,SUNSET                       BL,34.0653,-118.2492
1849,240114317,07/09/2024 12:00:00 AM,07/09/2024 12:00:00 AM,640,1,Central,119,2,888,TRESPASSING,0910 2004,0,M,O,834.0,LA UNION STATION (NOT LINE SPECIFIC),,,IC,Invest Cont,888,,,,800 N  ALAMEDA                      ST,,34.0561,-118.2375
1850,242111064,08/16/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1000,21,Topanga,2146,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0377,34,M,H,103.0,ALLEY,,,IC,Invest Cont,440,,,,7000    ALABAMA                      AV,,34.1974,-118.599
1851,241910020,07/09/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1415,19,Mission,1998,2,354,THEFT OF IDENTITY,,35,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,14300    LANARK                       ST,,34.2175,-118.4441
1852,240910575,07/24/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1100,9,Van Nuys,932,1,310,BURGLARY,0344 0321,30,M,H,704.0,ELEMENTARY SCHOOL,,,IC,Invest Cont,310,,,,6200    NOBLE                        AV,,34.183,-118.4618
1853,240809532,07/09/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1317,8,West LA,853,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0394 1822 0344,21,M,C,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,1800    COLBY                        AV,,34.0417,-118.4499
1854,240709988,07/10/2024 12:00:00 AM,07/09/2024 12:00:00 AM,2000,7,Wilshire,727,1,330,BURGLARY FROM VEHICLE,0344 0358 0321,40,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,330,,,,1ST                          ST,SYCAMORE                     AV,34.0736,-118.3429
1855,240408734,07/10/2024 12:00:00 AM,07/09/2024 12:00:00 AM,2100,4,Hollenbeck,497,1,310,BURGLARY,1300 0397 0321 0358 0344,0,X,X,707.0,GARAGE/CARPORT,,,IC,Invest Cont,310,,,,3400 E  OLYMPIC                      BL,,34.0188,-118.2051
1856,242010146,07/14/2024 12:00:00 AM,07/09/2024 12:00:00 AM,2345,20,Olympic,2011,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822 0377,33,F,W,102.0,SIDEWALK,,,IC,Invest Cont,440,,,,200 N  ST ANDREWS                   PL,,34.0746,-118.3114
1857,242010067,07/10/2024 12:00:00 AM,07/09/2024 12:00:00 AM,2000,20,Olympic,2039,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,WILSHIRE                     BL,LAFAYETTE PARK               PL,34.0618,-118.2842
1858,241711099,07/09/2024 12:00:00 AM,07/09/2024 12:00:00 AM,745,17,Devonshire,1751,2,888,TRESPASSING,1501 0910,0,X,X,885.0,MTA - ORANGE LINE - CHATSWORTH,,,IC,Invest Cont,888,,,,10000    OLD DEPOT PLAZA              RD,,34.25,-118.599
1859,240114306,07/09/2024 12:00:00 AM,07/09/2024 12:00:00 AM,830,1,Central,138,1,330,BURGLARY FROM VEHICLE,0344 1300,29,F,V,123.0,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330,,,,200 S  LOS ANGELES                  ST,,34.0503,-118.2434
1860,241712110,08/16/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1540,17,Devonshire,1788,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 0325 0378,0,X,X,404.0,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,8900    BALBOA                       BL,,34.2322,-118.5113
1861,240114321,07/09/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1220,1,Central,153,2,888,TRESPASSING,0910 2004,0,M,O,902.0,MTA - RED LINE - PERSHING SQUARE,,,IC,Invest Cont,888,,,,500 S  HILL                         ST,,34.0488,-118.2518
1862,242110418,07/09/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1520,21,Topanga,2156,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,23,M,W,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,6600    TOPANGA CANYON               BL,,34.1904,-118.6059
1863,240114303,07/09/2024 12:00:00 AM,07/09/2024 12:00:00 AM,100,1,Central,158,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0913 1814 0411,59,M,B,101.0,STREET,216.0,SCISSORS,AO,Adult Other,236,,,,6TH,GLADYS,34.0403,-118.2421
1864,240910273,07/11/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1730,9,Van Nuys,966,1,421,THEFT FROM MOTOR VEHICLE - ATTEMPT,0329 1602,29,M,H,101.0,STREET,,,IC,Invest Cont,421,,,,13500    HESBY                        ST,,34.1622,-118.4269
1865,241609252,07/11/2024 12:00:00 AM,07/09/2024 12:00:00 AM,2340,16,Foothill,1602,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,12800    LOUVRE                       ST,,34.2799,-118.4118
1866,241910027,07/09/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1430,19,Mission,1912,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,15500    FOOTHILL                     BL,,34.323,-118.4696
1867,241109213,07/10/2024 12:00:00 AM,07/09/2024 12:00:00 AM,2230,11,Northeast,1162,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,23,F,W,102.0,SIDEWALK,,,IC,Invest Cont,440,,,,1100 N  MADISON                      AV,,34.0909,-118.2893
1868,240211780,07/09/2024 12:00:00 AM,07/09/2024 12:00:00 AM,630,2,Rampart,261,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,CORONADO,8TH,34.0573,-118.2832
1869,240408726,07/10/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1800,4,Hollenbeck,461,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,1400 E  3RD                          ST,,34.045,-118.2254
1870,241010397,08/08/2024 12:00:00 AM,07/09/2024 12:00:00 AM,600,10,West Valley,1033,2,354,THEFT OF IDENTITY,1822 0928,45,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,6300    RHEA                         AV,,34.1848,-118.5414
1871,240312156,07/10/2024 12:00:00 AM,07/09/2024 12:00:00 AM,2045,3,Southwest,354,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,2800    OBAMA                        BL,,34.0222,-118.3227
1872,240809536,07/10/2024 12:00:00 AM,07/09/2024 12:00:00 AM,2030,8,West LA,897,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0397 1822 0344 1300,28,F,B,504.0,OTHER RESIDENCE,,,IC,Invest Cont,420,,,,3300    CARDIFF                      AV,,34.0314,-118.3979
1873,240510171,07/10/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1800,5,Harbor,507,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,25,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,1600 W  223RD                        ST,,33.8245,-118.3064
1874,240114378,07/09/2024 12:00:00 AM,07/09/2024 12:00:00 AM,300,1,Central,182,1,330,BURGLARY FROM VEHICLE,0344 1822,22,F,W,123.0,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330,,,,900 S  OLIVE                        ST,,34.0437,-118.2582
1875,241010278,08/02/2024 12:00:00 AM,07/09/2024 12:00:00 AM,800,10,West Valley,1004,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420,,,,18200    INGOMAR                      ST,,34.212,-118.5298
1876,241910038,07/10/2024 12:00:00 AM,07/09/2024 12:00:00 AM,2330,19,Mission,1985,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,14200    ROSCOE                       BL,,34.2264,-118.4493
1877,240313730,08/31/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1700,3,Southwest,357,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",,0,,,101.0,STREET,,,IC,Invest Cont,522,,,,1100 W  37TH                         PL,,34.02,-118.2915
1878,240312160,07/10/2024 12:00:00 AM,07/09/2024 12:00:00 AM,2100,3,Southwest,357,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,1100 W  37TH                         PL,,34.02,-118.2915
1879,241109196,07/09/2024 12:00:00 AM,07/09/2024 12:00:00 AM,755,11,Northeast,1141,1,480,BIKE - STOLEN,0344,32,F,K,504.0,OTHER RESIDENCE,,,IC,Invest Cont,480,,,,1800 N  ALEXANDRIA                   AV,,34.1036,-118.2983
1880,240408757,07/10/2024 12:00:00 AM,07/09/2024 12:00:00 AM,2000,4,Hollenbeck,416,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420,,,,2400    LINCOLN PARK                 AV,,34.0812,-118.2032
1881,241311140,07/10/2024 12:00:00 AM,07/09/2024 12:00:00 AM,2300,13,Newton,1345,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,42ND,NAOMI,34.0067,-118.2538
1882,241109563,07/28/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1200,11,Northeast,1101,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0397,0,X,X,109.0,PARK/PLAYGROUND,,,IC,Invest Cont,341,,,,ZOO                          DR,RIVERSIDE                    DR,34.1548,-118.294
1883,241511908,07/09/2024 12:00:00 AM,07/09/2024 12:00:00 AM,900,15,N Hollywood,1545,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,5300    BEN                          AV,,34.1667,-118.3943
1884,240114351,07/10/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1635,1,Central,161,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,0,M,O,405.0,CLOTHING STORE,,,IC,Invest Cont,442,,,,7TH                          ST,FIGUEROA,34.0496,-118.2603
1885,241711079,07/09/2024 12:00:00 AM,07/09/2024 12:00:00 AM,745,17,Devonshire,1751,2,888,TRESPASSING,0910 1501,0,X,X,885.0,MTA - ORANGE LINE - CHATSWORTH,,,IC,Invest Cont,888,,,,10000    OLD DEPOT PLAZA              RD,,34.25,-118.599
1886,240610419,07/09/2024 12:00:00 AM,07/09/2024 12:00:00 AM,940,6,Hollywood,622,2,888,TRESPASSING,1501 1822,0,X,X,506.0,ABANDONED BUILDING ABANDONED HOUSE,,,IC,Invest Cont,888,,,,2200 N  NICHOLS CANYON               RD,,34.1109,-118.3607
1887,240710002,07/10/2024 12:00:00 AM,07/09/2024 12:00:00 AM,2200,7,Wilshire,758,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,70,F,B,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,1000    QUEEN ANNE                   PL,,34.0558,-118.3298
1888,241213389,07/11/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1408,12,77th Street,1243,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0394 1822 0344 0346,26,F,B,504.0,OTHER RESIDENCE,,,IC,Invest Cont,341,,,,1900 W  65TH                         ST,,33.9806,-118.3112
1889,241511932,07/10/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1745,15,N Hollywood,1501,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1822,36,M,H,101.0,STREET,,,IC,Invest Cont,331,,,,SATICOY                      ST,VARNA                        AV,34.2087,-118.4247
1890,242010177,07/15/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1900,20,Olympic,2054,1,510,VEHICLE - STOLEN,,0,,,123.0,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,510,,,,1000 S  ARDMORE                      AV,,34.0526,-118.3021
1891,241910491,07/28/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1200,19,Mission,1983,2,354,THEFT OF IDENTITY,0935,46,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,8500    COLUMBUS                     AV,,34.2246,-118.4654
1892,240211793,07/09/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1150,2,Rampart,251,1,210,ROBBERY,0334 1419 1407 1402 1822 0916 0330 0342 0906 0371,23,M,H,101.0,STREET,102.0,HAND GUN,AA,Adult Arrest,210,510.0,998.0,,RAMPART                      ST,4TH                          ST,34.0649,-118.2797
1893,240709993,07/09/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1228,7,Wilshire,715,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0394 1822 0344,32,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,300 N  DETROIT                      ST,,34.0762,-118.3452
1894,241812275,08/16/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1150,18,Southeast,1863,2,354,THEFT OF IDENTITY,1822 0930,58,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,300 E  118TH                        ST,,33.9265,-118.2696
1895,241811247,07/09/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1700,18,Southeast,1842,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,11100 S  BROADWAY,,33.9348,-118.2781
1896,241811321,07/12/2024 12:00:00 AM,07/09/2024 12:00:00 AM,700,18,Southeast,1851,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,13400    ESTRELLA                     AV,,33.9103,-118.2861
1897,240312149,07/09/2024 12:00:00 AM,07/09/2024 12:00:00 AM,630,3,Southwest,334,1,330,BURGLARY FROM VEHICLE,0344 1822 0329 1300 1601,48,M,H,108.0,PARKING LOT,,,IC,Invest Cont,330,,,,3000    CRENSHAW                     BL,,34.0276,-118.3351
1898,240910252,07/10/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1525,9,Van Nuys,943,2,354,THEFT OF IDENTITY,0930,26,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,5900    VAN NUYS                     BL,,34.1747,-118.4442
1899,241009839,07/09/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1230,10,West Valley,1003,2,624,BATTERY - SIMPLE ASSAULT,0913 0361 0400 0416 0401,49,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,7900    RESEDA                       BL,,34.2148,-118.5404
1900,241213471,07/14/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1600,12,77th Street,1251,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1300 0329 1202 1307 1822,63,M,B,101.0,STREET,,,IC,Invest Cont,745,,,,6800    10TH                         AV,,33.9773,-118.3279
1901,241213740,07/23/2024 12:00:00 AM,07/09/2024 12:00:00 AM,900,12,77th Street,1266,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420,,,,800 W  82ND                         ST,,33.9661,-118.2849
1902,242010072,07/10/2024 12:00:00 AM,07/09/2024 12:00:00 AM,320,20,Olympic,2053,1,330,BURGLARY FROM VEHICLE,1822 0344 1307 1609,39,M,K,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,330,,,,1000 S  HOBART                       BL,,34.0526,-118.3052
1903,240710047,07/11/2024 12:00:00 AM,07/09/2024 12:00:00 AM,2130,7,Wilshire,763,1,330,BURGLARY FROM VEHICLE,1300 1307 1822 0344,25,F,W,101.0,STREET,,,IC,Invest Cont,330,,,,1400 S  SPAULDING                    AV,,34.0507,-118.3625
1904,241511912,07/09/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1430,15,N Hollywood,1506,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1822,0,X,X,213.0,WAREHOUSE,,,IC,Invest Cont,442,,,,7100    VINELAND                     AV,,34.2027,-118.3745
1905,242010063,07/10/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1100,20,Olympic,2091,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,21ST                         ST,MANHATTAN                    PL,34.0378,-118.3133
1906,241009869,07/11/2024 12:00:00 AM,07/09/2024 12:00:00 AM,2000,10,West Valley,1004,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420,,,,RESEDA                       BL,ROSCOE                       BL,34.2208,-118.5361
1907,241009831,07/10/2024 12:00:00 AM,07/09/2024 12:00:00 AM,930,10,West Valley,1061,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420,,,,19300    WELLS                        DR,,34.1687,-118.5579
1908,242110422,07/18/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1035,21,Topanga,2126,2,354,THEFT OF IDENTITY,0377 2021,84,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,7600    LOMA VERDE                   AV,,34.2092,-118.5898
1909,241411087,07/10/2024 12:00:00 AM,07/09/2024 12:00:00 AM,2000,14,Pacific,1479,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,8400    BARNSLEY                     AV,,33.9625,-118.3847
1910,241411065,07/09/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1530,14,Pacific,1446,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,12000    WASHINGTON                   PL,,34.0019,-118.4255
1911,241213587,07/18/2024 12:00:00 AM,07/09/2024 12:00:00 AM,330,12,77th Street,1245,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,6200    RAYMOND                      AV,,33.9832,-118.2981
1912,240114758,07/17/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1900,1,Central,182,1,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510,,,,900 S  OLIVE                        ST,,34.0437,-118.2582
1913,240710136,07/09/2024 12:00:00 AM,07/09/2024 12:00:00 AM,655,7,Wilshire,713,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 0913,23,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,745,,,,400 N  CURSON                       AV,,34.0782,-118.3553
1914,240117324,08/21/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1355,1,Central,174,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822,24,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,700 S  SPRING                       ST,,34.0445,-118.2523
1915,241213636,07/12/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1450,12,77th Street,1259,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0329,64,M,B,103.0,ALLEY,,,IC,Invest Cont,341,,,,AVALON                       BL,73RD                         ST,33.9739,-118.2652
1916,240313729,08/31/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1700,3,Southwest,357,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",,0,,,101.0,STREET,,,IC,Invest Cont,522,,,,1100 W  37TH                         PL,,34.02,-118.2915
1917,240510014,07/09/2024 12:00:00 AM,07/09/2024 12:00:00 AM,150,5,Harbor,509,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,1400 W  LOMITA                       BL,,33.7978,-118.3012
1918,240910355,07/15/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1300,9,Van Nuys,911,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822 2032,0,X,X,222.0,LAUNDROMAT,,,IC,Invest Cont,440,,,,15300    SHERMAN                      WY,,34.2011,-118.4662
1919,240910236,07/09/2024 12:00:00 AM,07/09/2024 12:00:00 AM,50,9,Van Nuys,909,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,7300    MURIETTA                     AV,,34.203,-118.4389
1920,240510039,07/10/2024 12:00:00 AM,07/09/2024 12:00:00 AM,2000,5,Harbor,563,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,500 W  12TH                         ST,,33.7333,-118.2879
1921,240510036,07/09/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1835,5,Harbor,569,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0431 1218 1402 2004 1206 1822,32,M,W,108.0,PARKING LOT,512.0,MACE/PEPPER SPRAY,AO,Adult Other,230,998.0,,,300 E  22ND                         ST,,33.7272,-118.2742
1922,240809506,07/10/2024 12:00:00 AM,07/09/2024 12:00:00 AM,2215,8,West LA,841,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,38,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,745,,,,11900    ROCHESTER                    AV,,34.0439,-118.462
1923,240312179,07/11/2024 12:00:00 AM,07/09/2024 12:00:00 AM,728,3,Southwest,308,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344 1251,32,M,O,101.0,STREET,,,IC,Invest Cont,440,,,,2300    SCARFF                       ST,,34.0347,-118.2809
1924,240408719,07/09/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1145,4,Hollenbeck,499,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,1300    MIRASOL                      ST,,34.0188,-118.1995
1925,240408807,07/12/2024 12:00:00 AM,07/09/2024 12:00:00 AM,2000,4,Hollenbeck,443,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1300,74,M,O,701.0,HOSPITAL,,,IC,Invest Cont,331,,,,1200 N  CUMMINGS                     ST,,34.0592,-118.2054
1926,241213357,07/10/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1730,12,77th Street,1241,1,330,BURGLARY FROM VEHICLE,0344 1609,26,F,W,101.0,STREET,,,IC,Invest Cont,330,,,,6200    8TH                          AV,,33.9821,-118.3318
1927,240115352,07/10/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1000,1,Central,159,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1300 0329,35,F,B,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,1300 E  6TH                          ST,,34.0382,-118.2356
1928,240710001,07/10/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1200,7,Wilshire,713,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 0385 1822,44,M,F,101.0,STREET,,,IC,Invest Cont,331,,,,400 N  GENESEE                      AV,,34.0782,-118.3584
1929,240114759,07/17/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1,1,Central,155,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420,,,,500 S  LOS ANGELES                  ST,,34.0461,-118.2475
1930,240115691,07/30/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1418,1,Central,161,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,900 W  8TH                          ST,,34.0479,-118.2612
1931,241109467,07/22/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1500,11,Northeast,1113,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,2800    EL ROBLE                     DR,,34.1387,-118.2279
1932,242010057,07/09/2024 12:00:00 AM,07/09/2024 12:00:00 AM,800,20,Olympic,2027,2,888,TRESPASSING,1822 2004 2052 0910,0,X,X,921.0,MTA - PURPLE LINE - WILSHIRE/NORMANDIE,,,IC,Invest Cont,888,,,,NORMANDIE,WILSHIRE,34.0617,-118.3004
1933,240114329,07/09/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1310,1,Central,152,2,888,TRESPASSING,0910,0,M,O,903.0,MTA - RED LINE - 7TH AND METRO CENTER,,,IC,Invest Cont,888,,,,600 S  FIGUEROA                     ST,,34.0508,-118.2586
